id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,restUjohnson,restVjohnson
17629,53.2184804,-27.8302782,0.286512,0.5962,0.4153,0.116572,1,0.21948,0.0236279,0.6,0.0384107,0.2033,,,-1,0.8005,-1.0,3,0.8005,8.45,0.3406,0.29905,0.041548,0.73,0.286512,0.0397892,-2.42058,-1.08,0.966,-16.244289,-17.230753
17696,53.0346313,-27.8297088,0.339119,0.4363,0.2,0.094622,2,0.147696,0.0273305,0.4,0.0794681,0.152125,,,-1,0.7572,-1.0,3,0.7572,7.89,0.5118,0.37192,0.13988,0.89,0.339119,0.0371387,-3.36959,-1.5971,0.719,-16.862557,-17.361049
17524,53.0596256,-27.8306832,0.936087,7.407,2.2268,0.0686167,0,0.256314,0.00404722,0.4,0.14861,1.1966,,,0,0.60159,-1.0,2,0.7417,9.77,0.49288,0.37776,0.11512,0.75,0.936087,0.173469,-2.56779,0.0639,1.206,-18.041836,-19.504613
17714,53.1456577,-27.8298474,0.00526024,504.5,1.4871,0.327636,0,0.251964,0.0230296,0.0,0.0277698,0.183722,,,-1,0.784,-1.0,3,0.784,8.59,0.67966,0.62118,0.05848,0.62,0.00526024,0.00612992,-1.75737,6.9293,1.462,-15.270919,-16.807239
17412,53.0629846,-27.8310153,2.33822,2.33822,1.6018,0.026995,0,0.50985,0.00468651,1.3,0.864164,4.02914,,,0,0.6659,0.6659,1,0.6657,9.49,2.4506,1.3386,1.112,0.67,4.13893,0.329043,1.23027,-0.2518,1.49,-19.241878,-20.325501
17745,53.2151733,-27.829799,0.0523162,0.07399,0.9987,0.258121,1,0.233952,0.0186329,0.2,0.0377587,0.229068,,,-1,0.7804,-1.0,3,0.7804,8.52,-99.0,-99.0,0.057483,0.61,0.0523162,0.00196475,-1.70526,-1.3974,0.853,-15.40666,-16.898549
17751,53.0478262,-27.8295435,0.354894,0.387,0.9549,0.310309,0,0.381822,0.0564572,0.0,0.0993414,0.173672,,,-1,0.9015,-1.0,3,0.9015,8.04,0.62978,0.46116,0.16862,0.94,0.354894,0.00843691,-3.91523,-1.8287,0.5,-17.182859,-17.577818
17762,53.043013,-27.8298229,0.121509,0.153,0.9666,0.133643,0,0.321342,0.0150564,0.2,0.13503,0.565401,,,0,0.6607,-1.0,3,0.6607,8.82,1.0576,0.89668,0.16095,0.53,0.121509,0.0168124,-1.22449,-1.6712,0.655,-16.383189,-17.526579
17773,53.1014308,-27.8294309,0.0511784,0.07696,2.2248,1.08024,2,0.257142,0.0792813,0.2,0.0279235,0.0893041,,,-1,0.8447,-1.0,3,0.8447,7.84,-99.0,-99.0,0.044617,0.66,0.0511784,0.00482104,-1.96528,-1.2301,0.925,-15.065645,-15.862587
17771,53.0947752,-27.8294273,0.00223363,0.002652,0.4702,0.278577,2,0.132228,0.0388137,0.7,0.0103616,0.038628,,,-1,0.691,-1.0,3,0.691,7.7,0.42328,0.4115,0.011783,0.33,0.00223363,0.000135797,-0.339298,-1.6864,0.641,-11.709909,-13.425207
17763,53.0652674,-27.8294515,0.118394,0.2342,0.4182,0.164912,0,0.108678,0.0178995,0.7,0.0387475,0.116431,,,-1,0.8012,-1.0,3,0.8012,8.01,0.36711,0.29296,0.074151,0.73,0.118394,0.000779933,-2.42058,-1.0467,0.973,-15.753697,-16.427725
17761,53.0647956,-27.8293836,0.0259221,0.02933,0.2,0.211821,2,0.164634,0.0814955,0.0,0.00796281,0.036325,,,-1,0.8555,-1.0,3,0.8555,7.55,0.25665,0.22378,0.032866,0.74,0.0259221,0.000869059,-2.49385,-1.752,0.578,-14.502988,-15.325257
17726,53.1463138,-27.8298334,0.257484,0.7802,1.8016,0.190113,0,0.32328,0.017056,0.0,0.139897,0.553631,,,0,0.73585,-1.0,2,0.7665,9.0,0.69716,0.53576,0.16139,0.66,0.257484,0.0418848,-1.96528,-0.7783,1.012,-16.932993,-18.136638
17597,53.0893042,-27.8302206,1.50435,2.808,1.5731,0.104793,1,0.530856,0.020305,0.0,0.420606,1.20571,,,0,0.7293,0.7293,1,0.7438,9.01,0.74329,0.15694,0.58635,0.73,1.50435,0.245215,-2.42058,-1.1269,1.033,-18.374275,-19.13759
17522,53.0301899,-27.8297236,2.65011,3.304,2.2184,0.149513,0,0.205104,0.00654428,0.4,0.966457,2.49741,,,-1,0.7631,0.7603,3,0.7631,9.2,2.6646,0.89091,1.7737,0.76,2.65011,0.238744,-2.64145,-1.6302,0.691,-19.351436,-19.972905
17816,53.2171102,-27.8295352,0.946203,1.571,1.7382,0.237531,0,0.448248,0.0331203,0.0,0.253487,0.665307,,,-1,0.7426,-1.0,3,0.7426,8.68,0.43774,0.0072769,0.43046,0.75,0.946203,0.168368,-2.56779,-1.2692,0.964,-17.849269,-18.48287
17883,53.0638996,-27.8290425,0.326794,0.4989,7.8718,5.77493,1,4.62831,2.50789,0.0,0.0161523,0.0240234,,,-1,0.7522,-1.0,3,0.7522,5.79,0.062529,0.035109,0.02742,1.63,0.326794,0.0488016,-22.3198,-1.3506,0.918,-17.063507,-17.856573
16493,53.0771593,-27.8327443,0.287763,14.38,5.8374,0.0464532,0,0.473034,0.00208388,0.5,0.521063,13.1115,,,0,0.66863,-1.0,2,0.6616,10.64,1.3088,0.62067,0.6881,0.63,0.287763,0.127579,-1.80785,1.5101,1.462,-19.737136,-21.645008
17070,53.0561713,-27.8313458,15.6836,15.6836,1.7096,0.015654,1,0.472146,0.0021846,1.0,0.262003,5.10538,,,0,0.731,0.731,1,0.781,10.69,2.309,1.9952,0.31377,0.73,6.85101,0.489666,15.3763,0.8854,3.424,-19.278467,-21.204894
17270,53.2155261,-27.8308352,31.7338,31.7338,1.1389,0.00897961,0,0.315714,0.000932018,1.3,2.41411,10.2604,,,0,0.736,0.736,1,0.7284,10.03,28.438,24.388,4.0494,0.74,43.3156,4.03044,27.0401,-0.3592,2.482,-20.646127,-21.592629
17855,53.1971254,-27.829025,0.856534,3.045,1.671,0.401436,0,0.154644,0.0166762,0.0,0.0447592,0.0935724,,,-1,0.9997,-1.0,3,0.9997,8.55,0.31916,0.1984,0.12076,1.18,0.856534,0.099067,-9.10998,-0.3634,1.407,-17.188041,-17.996198
17454,53.0558304,-27.8300165,0.619189,0.8776,1.0802,0.0447056,0,0.650148,0.012195,0.8,0.529965,1.88801,,,0,0.57224,-1.0,2,0.5279,8.85,0.54297,0.093621,0.44935,0.53,0.619189,0.0897185,-1.22449,-1.4853,0.8,-17.881096,-18.787766
17323,53.0879057,-27.830846,13.5495,13.5495,1.0289,0.0165297,0,0.765768,0.00608836,1.5,0.853212,3.72966,,,0,0.95913,-1.0,2,0.9629,10.03,12.593,10.114,2.4785,0.9,23.9537,2.0894,10.0918,0.0025,2.166,-20.441297,-21.440038
17868,53.1159167,-27.8289332,0.0053827,0.04137,0.626,0.254141,0,0.109566,0.0199971,0.8,0.0196024,0.0722319,,,-1,0.7911,-1.0,3,0.7911,7.8,-99.0,-99.0,0.040249,0.4,0.0053827,0.00100498,-0.571347,0.0331,1.194,-13.232395,-14.559743
17906,53.0724556,-27.8290468,0.159823,0.1643,0.4602,0.13922,0,0.29751,0.0250074,0.0,0.154389,0.335384,,,-1,0.6016,-1.0,3,0.6016,7.82,0.3203,0.16829,0.15201,0.56,0.159823,0.00206136,-1.40504,-1.9694,0.352,-16.451774,-16.926917
17216,53.0549623,-27.8310535,1.13106,1.13106,3.5784,0.0634638,0,0.202884,0.00187952,0.4,0.10214,3.71211,,,0,0.71944,-1.0,2,0.7277,10.2,0.41993,0.17525,0.24468,0.67,0.341803,0.0624411,1.0065,0.1191,1.228,-18.474189,-20.447228
17896,53.0610356,-27.828891,0.143419,0.3379,0.594,0.236729,1,0.4089,0.0600786,0.1,0.0698012,0.150763,,,-1,0.7658,-1.0,3,0.7658,7.74,0.20151,0.080434,0.12108,0.56,0.143419,0.0193738,-1.40504,-0.9712,0.987,-15.672545,-16.175123
17919,53.1117064,-27.8288814,0.178491,0.2458,0.2,0.056641,2,0.31914,0.031896,0.1,0.0414308,0.116183,,,-1,0.9516,-1.0,3,0.9516,8.25,-99.0,-99.0,0.12927,0.85,0.178491,0.0177493,-3.11707,-1.4842,0.801,-16.401443,-17.11646
17322,53.0656555,-27.8305453,0.549244,7.531,1.6332,0.0355015,0,0.43635,0.00507342,0.7,0.169148,1.9154,,,0,0.64378,-1.0,2,0.6369,9.8,0.99499,0.84293,0.15205,0.71,0.549244,0.155493,-2.27866,1.2846,2.442,-18.261752,-19.899792
17961,53.0610323,-27.828712,0.0393334,0.03712,0.8188,0.300982,1,0.26145,0.0483546,0.0,0.0684726,0.134665,,,-1,0.7274,-1.0,3,0.7274,7.73,0.25531,0.17309,0.082216,0.48,0.0393334,0.000956696,-0.943538,-2.104,0.221,-15.031953,-15.518509
17925,53.2243146,-27.828853,0.842362,1.373,1.1369,0.260725,0,0.185106,0.0117539,0.0,0.170283,0.22984,,,-1,0.9887,-1.0,3,0.9887,8.73,0.79458,0.49446,0.30013,1.05,0.842362,0.0740862,-5.86041,-1.2786,0.908,-17.821123,-18.457338
17914,53.2102833,-27.8288601,0.474003,1.515,1.8617,0.420604,0,0.132462,0.0118438,0.3,0.0940617,0.239602,,,-1,0.7649,-1.0,3,0.7649,8.11,-99.0,-99.0,0.16454,0.73,0.474003,0.0603785,-2.42058,-0.5167,1.309,-16.741043,-17.384394
