FIELD_x,ID,RA,DEC,Z_50_x,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,FIELD_y,RA_x,DEC_x,Z_50_y,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,DL,restUjohnson,restVjohnson,PAB_FLUX_LIMIT,PAB_L_LIMIT,PAB_SFR_LIMIT,PAB_SFR_EX2_LIMIT,RAND,PAB_FLUX_LIMIT_RAND,PAB_L_LIMIT_RAND,PAB_SFR_LIMIT_RAND,PAB_SFR_EX2_LIMIT_RAND
GS4,21890,53.174772666,-27.799323122,0.1503455379765732,0.014156934205601154,32.0997068068512,10.5862849314579,14747.42979685967,GS4,53.174772666,-27.799323122,0.1503455379765732,21890,0.525914,0.525914,1.5985,0.0132563,1,1.99358,0.00986389,0.7,12.889,29.9389,,,0,0.1514,0.1514,1,0.1495,8.68,0.45175,0.049764,0.40199,0.15,0.604731,0.098164,0.216522,-1.4106,0.846,723.0655927905966,-17.804596,-18.724373,10.5862849314579,6.622033907390327e+39,-0.19900859982152497,0.019429167997443958,1.0218676013382897,10.817781589992565,6.766841904925777e+39,-0.18961396990642498,0.02882379791254394
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925,GN3,189.20682581,62.321196204,0.2451193635943251,34157,0.78256,0.78256,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,0.631,1247.3676076150057,,,2.68852447315662,5.004899337200679e+39,-0.3206046529974387,-0.34362240670517974,1.5749690173381226,4.234342747576975,7.882561390987173e+39,-0.12333263819336082,-0.14635039190110188
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925,GN5,189.20682581,62.321196204,0.2819706873037258,34157,0.78256,0.78256,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,0.631,1464.061004298002,,,2.68852447315662,6.894849164673164e+39,-0.18147523023746714,-0.2044929839452082,0.754911186815173,2.0295972008123018,5.2049987658150227e+39,-0.3035793691313131,-0.3265971228390542
GS4,22600,53.19330134300001,-27.80557966300002,0.2698318708604558,0.02593543928720045,27.666599931603802,1.34763711224102,16279.244584431042,GS4,53.19330134300001,-27.80557966300002,0.2698318708604558,22600,615.429,654.8,0.5739,0.00688741,0,0.025512,0.00010498,2.1,0.409736,8.19954,,,0,-1.0,0.0,0,0.5923,7.09,-99.0,-99.0,-99.0,4.4321,615.429,30.6794,-0.0,-1.9461,0.376,1391.9258918102232,26.35356,23.624115,1.34763711224102,3.123903562647088e+39,-0.5253023815990545,-3.3144803386441195,1.0733314314328795,1.446461270733726,3.352983882554272e+39,-0.4945685341746895,-3.2837464912197545
GS2,43401,53.13990311099999,-27.704768926,0.008976263294281247,0.004598802869863115,26.4032610049863,1.0488607885418,12935.075695432684,GS2,53.13990311099999,-27.704768926,0.008976263294281247,43401,0.526928,21130.0,0.3094,0.00163841,0,0.040548,7.18218e-05,0.2,0.880095,33.3866,,,0,-1.0,-1.0,0,0.5963,11.25,-99.0,-99.0,-99.0,0.55,0.526928,0.609296,-1.3435,6.2783,1.462,39.09291975947652,-19.754843,-22.218441,1.0488607885418,1.917814046000134e+36,-3.7371935049396825,-3.458944781748191,1.8685952386452915,1.9598962754709535,3.5836181949629123e+36,-3.4656782670494266,-3.187429543857935
GN3,32290,189.36643835,62.30439160299998,0.245065533955202,0.0928092703802391,26.097642430853,3.1318110372425396,15961.740145305688,GN3,189.36643835,62.30439160299998,0.245065533955202,32290,0.00261987,0.01903,1.3877,0.708719,0,0.5544,0.148212,0.1,0.38135,1.48595,-12.458456,-13.80936,0,0.2866,-1.0,2,0.2591,8.33,-99.0,-99.0,0.050833,0.08,0.00261987,0.000495694,-0.0109444,-0.0253,1.172,1247.0561368125173,,,3.1318110372425396,5.827200847617109e+39,-0.25454001271325666,2.32718024546447,0.4268728030002783,1.3368849559349318,2.4874735594679125e+39,-0.6242415268790111,1.9574787312987154
GS5,40413,53.12514831149021,-27.72090569708546,0.1765692248460142,0.09004217280743042,25.7017497510353,3.5716900939330496,15083.617462525903,GS5,53.12514831149021,-27.72090569708546,0.1765692248460142,40413,0.00042136,0.03087,0.9593,0.0656118,0,1.08195,0.0378762,0.1,0.581601,2.23729,,,0,0.14,-1.0,3,0.14,7.82,0.010563,0.0057724,0.0047905,0.07,0.00042136,0.000210119,-0.00812888,1.7748,1.462,863.1863310917693,-19.713002,-20.464575,3.5716900939330496,3.1840164839068566e+39,-0.5170246925514377,2.858322002099138,1.297399275026059,4.633908138486495,4.1309406778917764e+39,-0.4039510416366454,2.9713956530139303
GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479,0.05973070655503916,23.2560855140048,3.88170643555486,14280.640062232802,GS4,53.19392920055293,-27.78579541612264,0.1139344822334479,27438,0.144614,0.3127,0.8853,0.0074704,0,1.57721,0.00718915,0.5,5.08476,16.5612,,,0,0.128,0.128,1,0.1184,8.75,0.076327,0.002211,0.074116,0.13,0.144614,0.0241176,-0.0333741,-1.062,0.97,535.1169393113697,-16.295958,-17.583836,3.88170643555486,1.3298801834919421e+39,-0.8961874853429279,-0.05639782414120831,0.2755473711864618,1.0695940040347125,3.664449885541742e+38,-1.455991213275432,-0.6162015520737124
GS3,35205,53.13105249200283,-27.74305030300048,0.2309343500038553,0.07178957840676123,20.5822363978068,1.44732992947472,15780.578367049424,GS3,53.13105249200283,-27.74305030300048,0.2309343500038553,35205,0.971894,4.72,0.2185,0.000436279,0,0.019926,1.47865e-05,1.3,14.4832,156.524,,,-1,-1.0,0.0,0,0.2324,8.48,-99.0,-99.0,-99.0,0.2729,0.971894,0.194628,-0.206841,-0.4053,1.066,1165.810657281555,22.705815,20.004543,1.44732992947472,2.3535098183033815e+39,-0.6482839855765974,-0.6359028865878361,1.0245461232586033,1.482856268319472,2.4112793603937885e+39,-0.6377524712280476,-0.6253713722392863
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,19.4455052485546,2.12677925054694,14610.06428423261,GN2,189.20126644,62.240701729,0.1396305993941193,19221,1.8332,1.8332,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,0.94,666.9478951892702,,,2.12677925054694,1.1318754917945963e+39,-0.9662013436429149,-1.241074727013288,0.7678922465528255,1.6331372966244244,8.691584142122367e+38,-1.0809010611253385,-1.3557744444957116
GS3,34363,53.15127913700001,-27.74988377800001,0.008864607612696355,0.0041226036649143405,17.685365351879298,0.970477568342841,12933.644269594768,GS3,53.15127913700001,-27.74988377800001,0.008864607612696355,34363,0.692024,0.692024,3.5264,0.0189951,2,0.018,4.01794e-05,2.1,3.43813,43.2549,,,0,-1.0,0.0,0,0.5849,7.8,-99.0,-99.0,-99.0,0.3308,0.773621,0.924205,0.320874,4.8808,1.462,38.603303066102704,23.617482,21.327505,0.970477568342841,1.730321736541032e+36,-3.7818731365168574,-3.6704013867080576,2.3293687819185247,2.2606001512500153,4.0305574357737296e+36,-3.4146348857351043,-3.3031631359263045
GN4,21693,189.23252415,62.24847398999999,0.2867762710963165,0.10061006379685893,17.127375432824202,4.786362888683501,16496.471795454778,GN2,189.2325241499276,62.24847399031422,0.2819808192873829,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1464.1215195967281,,,4.786362888683501,1.2275870533876628e+40,0.06905229954477221,1.6916768292014852,0.6845892588627854,3.2766926226121784,8.403929110682108e+39,-0.09551761963703598,1.527106910019677
GN4,21693,189.23252415,62.24847398999999,0.2867762710963165,0.10061006379685893,17.127375432824202,4.786362888683501,16496.471795454778,GN4,189.23252415,62.24847398999999,0.2867762710963165,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1492.8201822949552,,,4.786362888683501,1.276183271635516e+40,0.08591304753915097,1.708537577195864,0.3655224309249272,1.7495229983604499,4.664736117539405e+39,-0.35117291910675874,1.2714516105499543
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695,1.4327140984393398,16434.99410326425,GN2,189.2325241499276,62.24847399031422,0.2819808192873829,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1464.1215195967281,,,1.4327140984393398,3.674567347595885e+39,-0.4547937884472901,1.1678307412094229,1.0078979554563965,1.444029610570565,3.703588916828727e+39,-0.4513772242203018,1.1712473054364112
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695,1.4327140984393398,16434.99410326425,GN4,189.23252415,62.24847398999999,0.2867762710963165,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,0.622,1492.8201822949552,,,1.4327140984393398,3.820031635686428e+39,-0.43793304045291137,1.1846914892038016,0.5544873040005844,0.7944217778472574,2.1181590428687102e+39,-0.6940414338191516,0.9285830958375614
GN5,33397,189.1754698206713,62.31434661897602,0.246513474597317,0.011038860195938863,16.7590762780839,3.66749489916967,15980.302744337603,GN3,189.17546982,62.314346623,0.245052751020829,33397,0.676842,0.676842,0.8072,0.129569,0,0.933042,0.0718684,0.8,4.36831,20.14806,-18.174565,-19.460854,0,0.19602,-1.0,2,0.2131,9.34,0.33978,0.13154,0.20824,0.25,0.951868,0.0782902,0.295839,-0.4611,1.055,1246.982173983502,,,3.66749489916967,6.823111022129102e+39,-0.18601756204770226,-0.16459428895494913,1.4052617719529545,5.153790380635592,9.588257085188873e+39,-0.03826032995940665,-0.01683705686665351
GN5,33397,189.1754698206713,62.31434661897602,0.246513474597317,0.011038860195938863,16.7590762780839,3.66749489916967,15980.302744337603,GN5,189.1754698206713,62.31434661897602,0.246513474597317,33397,0.676842,0.676842,0.8072,0.129569,0,0.933042,0.0718684,0.8,4.36831,20.14806,-18.174565,-19.460854,0,0.19602,-1.0,2,0.2131,9.34,0.33978,0.13154,0.20824,0.25,0.951868,0.0782902,0.295839,-0.4611,1.055,1255.4394705637446,,,3.66749489916967,6.915976435480883e+39,-0.18014649514913827,-0.15872322205638514,0.13504440992027095,0.49527468454397167,9.339639567520146e+38,-1.0496698836047642,-1.0282466105120112
